Feature,Mean_Absolute_SHAP
36,0.6730017
1,0.45752683
2,0.24191454
18,0.22919822
27,0.1996836
16,0.19116251
43,0.17481697
39,0.11102604
38,0.09579959
12,0.0835154
37,0.07168103
3,0.07107778
35,0.060010094
21,0.05612628
8,0.036894716
32,0.027392661
0,0.026442874
41,0.009275214
10,0.00847924
30,0.006378305
29,0.00499976
42,0.003710361
4,0.002760864
15,0.0022544463
33,0.001662325
44,0.0015826152
14,0.0015155883
26,0.0
5,0.0
6,0.0
7,0.0
40,0.0
9,0.0
11,0.0
13,0.0
17,0.0
25,0.0
34,0.0
19,0.0
20,0.0
31,0.0
23,0.0
24,0.0
28,0.0
22,0.0
